web-scraper-order,web-scraper-start-url,articles-link,articles-link-href,title-selector,summary-selector,whole-article-selector
"1751563710-11","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","Next, astronomers intend to study the spectroscopic data that have been obtained to gain insights into the evolution of the physical and chemical properties of the material observed across the nebula."
"1751563710-12","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","These observations were taken for the Webb GTO program 1192 and the results were published today in Astronomy & Astrophysics."
"1751563710-13","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","The James Webb Space Telescope is the world's premier space science observatory. Webb is solving mysteries in our solar system, looking beyond to distant worlds around other stars, and probing the mysterious structures and origins of our universe and our place in it. Webb is an international program led by NASA with its partners, ESA (European Space Agency) and the Canadian Space Agency."
"1751563714-14","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","WASP-43 b is cloudy on the nightside and clear on the dayside, with equatorial winds howling around the planet at 5,000 miles per hour.",""
"1751563714-15","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","Sometimes not finding something is just as exciting and useful as finding it. Take hot Jupiter WASP-43 b, for example. This tidally locked world has a searing-hot, permanent dayside and a somewhat cooler nightside. Astronomers using Webb to map the temperature and analyze the atmosphere around the planet expected to detect methane, a common carbon molecule, on the nightside. But there is clearly no sign of it. Why? The result suggests that supersonic winds of hot gas are blowing around from the dayside, thoroughly churning up the atmosphere, and preventing the chemical reactions that would otherwise produce methane on the nightside.",""
"1751563714-16","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","Lee esta historia en español.",""
"1751563714-17","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","An international team of researchers has successfully used NASA’s James Webb Space Telescope to map the weather on the hot gas-giant exoplanet WASP-43 b."
"1751563714-18","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","Precise brightness measurements over a broad spectrum of mid-infrared light, combined with 3D climate models and previous observations from other telescopes, suggest the presence of thick, high clouds covering the nightside, clear skies on the dayside, and equatorial winds upwards of 5,000 miles per hour mixing atmospheric gases around the planet."
"1751563714-19","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The investigation is just the latest demonstration of the exoplanet science now possible with Webb’s extraordinary ability to measure temperature variations and detect atmospheric gases trillions of miles away."
"1751563714-20","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","WASP-43 b is a “hot Jupiter” type of exoplanet: similar in size to Jupiter, made primarily of hydrogen and helium, and much hotter than any of the giant planets in our own solar system. Although its star is smaller and cooler than the Sun, WASP-43 b orbits at a distance of just 1.3 million miles – less than 1/25th the distance between Mercury and the Sun."
"1751563714-21","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","With such a tight orbit, the planet is tidally locked, with one side continuously illuminated and the other in permanent darkness. Although the nightside never receives any direct radiation from the star, strong eastward winds transport heat around from the dayside."
"1751563714-22","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","Since its discovery in 2011, WASP-43 b has been observed with numerous telescopes, including NASA’s Hubble and now-retired Spitzer space telescopes."
"1751563714-23","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","“With Hubble, we could clearly see that there is water vapor on the dayside. Both Hubble and Spitzer suggested there might be clouds on the nightside,” explained Taylor Bell, researcher from the Bay Area Environmental Research Institute and lead author of a study published today in Nature Astronomy. “But we needed more precise measurements from Webb to really begin mapping the temperature, cloud cover, winds, and more detailed atmospheric composition all the way around the planet.”"
"1751563714-24","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","Although WASP-43 b is too small, dim, and close to its star for a telescope to see directly, its short orbital period of just 19.5 hours makes it ideal for phase curve spectroscopy, a technique that involves measuring tiny changes in brightness of the star-planet system as the planet orbits the star."
"1751563714-25","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","Since the amount of mid-infrared light given off by an object depends largely on how hot it is, the brightness data captured by Webb can then be used to calculate the planet’s temperature."
"1751563714-26","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The team used Webb’s MIRI (Mid-Infrared Instrument) to measure light from the WASP-43 system every 10 seconds for more than 24 hours. “By observing over an entire orbit, we were able to calculate the temperature of different sides of the planet as they rotate into view,” explained Bell. “From that, we could construct a rough map of temperature across the planet.”"
"1751563714-27","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The measurements show that the dayside has an average temperature of nearly 2,300 degrees Fahrenheit (1,250 degrees Celsius) – hot enough to forge iron. Meanwhile, the nightside is significantly cooler at 1,100 degrees Fahrenheit (600 degrees Celsius). The data also helps locate the hottest spot on the planet (the “hotspot”), which is shifted slightly eastward from the point that receives the most stellar radiation, where the star is highest in the planet’s sky. This shift occurs because of supersonic winds, which move heated air eastward."
"1751563714-28","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","“The fact that we can map temperature in this way is a real testament to Webb’s sensitivity and stability,” said Michael Roman, a co-author from the University of Leicester in the U.K."
"1751563714-29","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","To interpret the map, the team used complex 3D atmospheric models like those used to understand weather and climate on Earth. The analysis shows that the nightside is probably covered in a thick, high layer of clouds that prevent some of the infrared light from escaping to space. As a result, the nightside – while very hot – looks dimmer and cooler than it would if there were no clouds."
"1751563714-30","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The broad spectrum of mid-infrared light captured by Webb also made it possible to measure the amount of water vapor (H2O) and methane (CH4) around the planet. “Webb has given us an opportunity to figure out exactly which molecules we’re seeing and put some limits on the abundances,” said Joanna Barstow, a co-author from the Open University in the U.K."
"1751563714-31","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The spectra show clear signs of water vapor on the nightside as well as the dayside of the planet, providing additional information about how thick the clouds are and how high they extend in the atmosphere."
"1751563714-32","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","Surprisingly, the data also shows a distinct lack of methane anywhere in the atmosphere. Although the dayside is too hot for methane to exist (most of the carbon should be in the form of carbon monoxide), methane should be stable and detectable on the cooler nightside."
"1751563714-33","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","“The fact that we don't see methane tells us that WASP-43 b must have wind speeds reaching something like 5,000 miles per hour,” explained Barstow. “If winds move gas around from the dayside to the nightside and back again fast enough, there isn’t enough time for the expected chemical reactions to produce detectable amounts of methane on the nightside.”"
"1751563714-34","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The team thinks that because of this wind-driven mixing, the atmospheric chemistry is the same all the way around the planet, which wasn’t apparent from past work with Hubble and Spitzer."
"1751563714-35","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The MIRI observation of WASP-43 b was conducted as part of the Webb Early Release Science programs, which are providing researchers with a vast set of robust, open-access data for studying a wide array of cosmic phenomena."
"1751563714-36","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","https://webbtelescope.org/contents/news-releases/2024/news-2024-117?itemsPerPage=50&page=1","NASA's Webb Maps Weather on Planet 280 Light-Years Away","","The James Webb Space Telescope is the world's premier space science observatory. Webb is solving mysteries in our solar system, looking beyond to distant worlds around other stars, and probing the mysterious structures and origins of our universe and our place in it. Webb is an international program led by NASA with its partners, ESA (European Space Agency) and the Canadian Space Agency."
"1751563718-37","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","Gas bubbling up from a lava-covered surface on 55 Cancri e may feed an atmosphere rich in carbon dioxide or carbon monoxide.",""
"1751563718-38","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","These days, detecting a planetary atmosphere tens or even hundreds of light-years from Earth might not sound like such a big deal. Scientists have found signs of atmosphere surrounding dozens of exoplanets over the past two decades. The catch is, all those planets have thick, hydrogen-dominated atmospheres that are relatively easy to study. The much thinner blankets of gas that almost certainly surround some small, rocky exoplanets have remained elusive.",""
"1751563718-39","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","Researchers think they may have finally caught a glimpse of a volatile-rich atmosphere surrounding a rocky planet. Light emitted by the hot, highly-irradiated exoplanet 55 Cancri e shows compelling evidence for an atmosphere, probably rich in carbon dioxide or carbon monoxide, which may be bubbling from a vast ocean of lava covering the planet’s surface.",""
"1751563718-40","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","The result is the best evidence to date for a rocky planet atmosphere outside our solar system.",""
"1751563718-41","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","Lee esta historia en español.",""
"1751563718-42","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","Researchers using NASA’s James Webb Space Telescope may have detected atmospheric gases surrounding 55 Cancri e, a hot rocky exoplanet 41 light-years from Earth. This is the best evidence to date for the existence of any rocky planet atmosphere outside our solar system."
"1751563718-43","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","Renyu Hu from NASA’s Jet Propulsion Laboratory (JPL) in Pasadena, California, is lead author on a paper published today in Nature. “Webb is pushing the frontiers of exoplanet characterization to rocky planets,” Hu said. “It is truly enabling a new type of science.”"
"1751563718-44","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","55 Cancri e, also known as Janssen, is one of five known planets orbiting the Sun-like star 55 Cancri, in the constellation Cancer. With a diameter nearly twice that of Earth and density slightly greater, the planet is classified as a super-Earth: larger than Earth, smaller than Neptune, and likely similar in composition to the rocky planets in our solar system."
"1751563718-45","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","To describe 55 Cancri e as “rocky,” however, could leave the wrong impression. The planet orbits so close to its star (about 1.4 million miles, or one-twenty-fifth the distance between Mercury and the Sun) that its surface is likely to be molten – a bubbling ocean of magma. With such a tight orbit, the planet is also likely to be tidally locked, with a dayside that faces the star at all times and a nightside in perpetual darkness."
"1751563718-46","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","In spite of numerous observations since it was discovered to transit in 2011, the question of whether or not 55 Cancri e has an atmosphere – or even could have one given its high temperature and the continuous onslaught of stellar radiation and wind from its star – has gone unanswered."
"1751563718-47","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","“I’ve worked on this planet for more than a decade,” said Diana Dragomir, an exoplanet researcher at the University of New Mexico and co-author on the study. “It’s been really frustrating that none of the observations we’ve been getting have robustly solved these mysteries. I am thrilled that we're finally getting some answers!”"
"1751563718-48","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","Unlike the atmospheres of gas giant planets, which are relatively easy to spot (the first was detected by NASA’s Hubble Space Telescope more than two decades ago), thinner and denser atmospheres surrounding rocky planets have remained elusive."
"1751563718-49","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","Previous studies of 55 Cancri e using data from NASA’s now-retired Spitzer Space Telescope suggested the presence of a substantial atmosphere rich in volatiles (molecules that occur in gas form on Earth) like oxygen, nitrogen, and carbon dioxide. But researchers could not rule out another possibility: that the planet is bare, save for a tenuous shroud of vaporized rock, rich in elements like silicon, iron, aluminum, and calcium. “The planet is so hot that some of the molten rock should evaporate,” explained Hu."
"1751563718-50","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","To distinguish between the two possibilities, the team used Webb’s NIRCam (Near-Infrared Camera) and MIRI (Mid-Infrared Instrument) to measure 4- to 12-micron infrared light coming from the planet."
"1751563718-51","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","Although Webb cannot capture a direct image of 55 Cancri e, it can measure subtle changes in light from the system as the planet orbits the star."
"1751563718-52","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","By subtracting the brightness during the secondary eclipse, when the planet is behind the star (starlight only), from the brightness when the planet is right beside the star (light from the star and planet combined), the team was able to calculate the amount of various wavelengths of infrared light coming from the dayside of the planet."
"1751563718-53","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","This method, known as secondary eclipse spectroscopy, is similar to that used by other research teams to search for atmospheres on other rocky exoplanets, like TRAPPIST-1 b."
"1751563718-54","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","The first indication that 55 Cancri e could have a substantial atmosphere came from temperature measurements based on its thermal emission, or heat energy given off in the form of infrared light. If the planet is covered in dark molten rock with a thin veil of vaporized rock or no atmosphere at all, the dayside should be around 4,000 degrees Fahrenheit (~2,200 degrees Celsius)."
"1751563718-55","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","https://webbtelescope.org/contents/news-releases/2024/news-2024-102?itemsPerPage=50&page=1","NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet","","“Instead, the MIRI data showed a relatively low temperature of about 2,800 degrees Fahrenheit [~1540 degrees Celsius],” said Hu. “This is a very strong indication that energy is being distributed from the dayside to the nightside, most likely by a volatile-rich atmosphere.” While currents of lava can carry some heat around to the nightside, they cannot move it efficiently enough to explain the cooling effect."
